normalized_price,Author,date_of_birth,Currency,hasAfter,circleOf,mannerOf,hasFollowers,sale_date,Sign,Technique,Material,Nazi,Framed,square_m,ExhibitedNum,ProvenanceNum,LiteratureNum,CataloguingLength,City,century,nationality,sex,style,repeat_sale,feature1,feature2,day_of_week,month,isUntitled,isNumbered,normalized_estimateto,log_normalized_price,log_normalized_estimateto
876603,Camille Pissarro,1830,GBP,1,1,0,0,2002-06-25 00:00:00,1,oil,canvas,0,0,0.2529,0,3,1,2344,london,19,French,M,impressionism,1,�,�,Tuesday,6,0,0,643839,13.6838,13.3752
3.83703e+06,Yves Klein,1928,GBP,0,0,0,0,2007-06-20 00:00:00,1,pigment,board,0,0,0.503,0,2,1,0,london,20,French,M,conceptualism,1,�,�,Wednesday,6,0,0,558547,15.1602,13.2331
1.24034e+06,Andy Warhol,1928,GBP,0,0,0,0,2005-09-02 00:00:00,0,ink,canvas,0,0,0.3266,0,4,3,5157,london,20,American,M,pop-art,1,homosexual,�,Wednesday,2,0,0,1.01659e+06,14.0309,13.832
4060.23,Andre Derain,1880,GBP,0,0,0,0,2010-11-11 00:00:00,1,ink,paper,0,0,0.0617,0,1,0,0,london,20,French,M,fauvism,1,�,�,Thursday,11,0,0,2731.4,8.30899,7.91257
1.57554e+06,Paul Signac,1863,GBP,1,0,0,0,1999-08-12 00:00:00,1,oil,canvas,0,0,0.529,3,8,4,2090,london,19,French,M,neo-impressionism,1,�,�,Wednesday,12,0,0,1.19185e+06,14.2701,13.991
31103.7,Edgar Degas,1834,USD,1,0,0,1,2002-07-11 00:00:00,1,pencil,board,0,0,0.0776,4,3,0,0,new york,19,French,M,impressionism,1,�,�,Thursday,11,0,0,42639.2,10.3451,10.6605
45788.7,Ed Ruscha,1937,USD,0,0,0,0,2019-09-27 00:00:00,1,lithograph,paper,0,0,0.2632,0,2,2,0,new york,20,American,M,pop-art,1,coeval,�,Friday,9,0,0,18000,10.7318,9.79813
1.49952e+06,Fernand Leger,1881,GBP,1,0,0,0,2008-04-02 00:00:00,1,oil,canvas,0,0,0.4353,6,4,2,0,london,20,French,M,cubism,1,communist,�,Monday,2,0,0,998952,14.2207,13.8145
2530.59,Jasper Johns,1930,GBP,0,0,0,0,2009-09-16 00:00:00,1,lithograph,paper,0,0,0.0767,0,0,0,0,london,20,American,M,pop-art,1,coeval,�,Wednesday,9,0,1,1079.63,7.83621,6.98437
2.77138e+06,Egon Schiele,1890,GBP,1,0,0,1,2006-06-20 00:00:00,1,oil,board,0,0,0.0446,6,5,15,4603,london,20,Austrian,M,expressionism,1,�,�,Tuesday,6,0,0,410344,14.8349,12.9247
1.09459e+07,Sir Peter Paul Rubens,1577,GBP,1,1,1,1,2007-06-12 00:00:00,0,oil,panel,0,0,0.3248,4,2,2,9845,london,17,Netherlander,M,baroque,1,�,�,Thursday,12,0,0,9.5751e+06,16.2085,16.0747
